# num_dtau=10 dt=1.000000e-05 ncor=2000
time_lag,MSD,count
4.970000e-02,3.726766e-04,2730560
4.980000e-02,3.741775e-04,2730420
4.990000e-02,3.756815e-04,2730280
5.000000e-02,3.771884e-04,2730140
5.010000e-02,3.786984e-04,2730000
5.020000e-02,3.802114e-04,2729860
5.030000e-02,3.817274e-04,2729720
5.040000e-02,3.832464e-04,2729580
5.050000e-02,3.847684e-04,2729440
5.060000e-02,3.862934e-04,2729300
5.070000e-02,3.878215e-04,2729160
5.080000e-02,3.893525e-04,2729020
5.090000e-02,3.908866e-04,2728880
5.100000e-02,3.924237e-04,2728740
5.110000e-02,3.939638e-04,2728600
5.120000e-02,3.955069e-04,2728460
5.130000e-02,3.970530e-04,2728320
5.140000e-02,3.986021e-04,2728180
5.150000e-02,4.001543e-04,2728040
5.160000e-02,4.017094e-04,2727900
5.170000e-02,4.032676e-04,2727760
5.180000e-02,4.048288e-04,2727620
5.190000e-02,4.063930e-04,2727480
5.200000e-02,4.079602e-04,2727340
5.210000e-02,4.095304e-04,2727200
5.220000e-02,4.111036e-04,2727060
5.230000e-02,4.126799e-04,2726920
5.240000e-02,4.142591e-04,2726780
5.250000e-02,4.158414e-04,2726640
5.260000e-02,4.174266e-04,2726500
5.270000e-02,4.190149e-04,2726360
5.280000e-02,4.206062e-04,2726220
5.290000e-02,4.222005e-04,2726080
5.300000e-02,4.237979e-04,2725940
5.310000e-02,4.253982e-04,2725800
5.320000e-02,4.270015e-04,2725660
5.330000e-02,4.286079e-04,2725520
5.340000e-02,4.302172e-04,2725380
5.350000e-02,4.318296e-04,2725240
5.360000e-02,4.334450e-04,2725100
5.370000e-02,4.350634e-04,2724960
5.380000e-02,4.366848e-04,2724820
5.390000e-02,4.383092e-04,2724680
5.400000e-02,4.399367e-04,2724540
5.410000e-02,4.415671e-04,2724400
5.420000e-02,4.432006e-04,2724260
5.430000e-02,4.448370e-04,2724120
5.440000e-02,4.464765e-04,2723980
5.450000e-02,4.481190e-04,2723840
5.460000e-02,4.497645e-04,2723700
5.470000e-02,4.514130e-04,2723560
5.480000e-02,4.530645e-04,2723420
5.490000e-02,4.547191e-04,2723280
5.500000e-02,4.563766e-04,2723140
5.510000e-02,4.580371e-04,2723000
5.520000e-02,4.597007e-04,2722860
5.530000e-02,4.613673e-04,2722720
5.540000e-02,4.630369e-04,2722580
5.550000e-02,4.647095e-04,2722440
5.560000e-02,4.663851e-04,2722300
5.570000e-02,4.680637e-04,2722160
5.580000e-02,4.697453e-04,2722020
5.590000e-02,4.714299e-04,2721880
5.600000e-02,4.731176e-04,2721740
5.610000e-02,4.748082e-04,2721600
5.620000e-02,4.765019e-04,2721460
5.630000e-02,4.781986e-04,2721320
5.640000e-02,4.798982e-04,2721180
5.650000e-02,4.816009e-04,2721040
5.660000e-02,4.833066e-04,2720900
5.670000e-02,4.850153e-04,2720760
5.680000e-02,4.867271e-04,2720620
5.690000e-02,4.884418e-04,2720480
5.700000e-02,4.901595e-04,2720340
5.710000e-02,4.918803e-04,2720200
5.720000e-02,4.936040e-04,2720060
5.730000e-02,4.953308e-04,2719920
5.740000e-02,4.970606e-04,2719780
5.750000e-02,4.987934e-04,2719640
5.760000e-02,5.005292e-04,2719500
5.770000e-02,5.022680e-04,2719360
5.780000e-02,5.040098e-04,2719220
5.790000e-02,5.057546e-04,2719080
5.800000e-02,5.075025e-04,2718940
5.810000e-02,5.092533e-04,2718800
5.820000e-02,5.110072e-04,2718660
5.830000e-02,5.127640e-04,2718520
5.840000e-02,5.145239e-04,2718380
5.850000e-02,5.162868e-04,2718240
5.860000e-02,5.180527e-04,2718100
5.870000e-02,5.198216e-04,2717960
5.880000e-02,5.215935e-04,2717820
5.890000e-02,5.233684e-04,2717680
5.900000e-02,5.251463e-04,2717540
5.910000e-02,5.269272e-04,2717400
5.920000e-02,5.287112e-04,2717260
5.930000e-02,5.304981e-04,2717120
5.940000e-02,5.322881e-04,2716980
5.950000e-02,5.340810e-04,2716840
5.960000e-02,5.358770e-04,2716700
5.970000e-02,5.376760e-04,2716560
5.980000e-02,5.394780e-04,2716420
5.990000e-02,5.412830e-04,2716280
6.000000e-02,5.430910e-04,2716140
6.010000e-02,5.449020e-04,2716000
6.020000e-02,5.467160e-04,2715860
6.030000e-02,5.485330e-04,2715720
6.040000e-02,5.503531e-04,2715580
6.050000e-02,5.521761e-04,2715440
6.060000e-02,5.540021e-04,2715300
6.070000e-02,5.558312e-04,2715160
6.080000e-02,5.576633e-04,2715020
6.090000e-02,5.594983e-04,2714880
6.100000e-02,5.613364e-04,2714740
6.110000e-02,5.631775e-04,2714600
6.120000e-02,5.650216e-04,2714460
6.130000e-02,5.668687e-04,2714320
6.140000e-02,5.687188e-04,2714180
6.150000e-02,5.705719e-04,2714040
6.160000e-02,5.724281e-04,2713900
6.170000e-02,5.742872e-04,2713760
6.180000e-02,5.761493e-04,2713620
6.190000e-02,5.780145e-04,2713480
6.200000e-02,5.798826e-04,2713340
6.210000e-02,5.817538e-04,2713200
6.220000e-02,5.836279e-04,2713060
6.230000e-02,5.855051e-04,2712920
6.240000e-02,5.873853e-04,2712780
6.250000e-02,5.892685e-04,2712640
6.260000e-02,5.911547e-04,2712500
6.270000e-02,5.930439e-04,2712360
6.280000e-02,5.949361e-04,2712220
6.290000e-02,5.968313e-04,2712080
6.300000e-02,5.987295e-04,2711940
6.310000e-02,6.006307e-04,2711800
6.320000e-02,6.025349e-04,2711660
6.330000e-02,6.044422e-04,2711520
6.340000e-02,6.063524e-04,2711380
6.350000e-02,6.082657e-04,2711240
6.360000e-02,6.101819e-04,2711100
6.370000e-02,6.121012e-04,2710960
6.380000e-02,6.140234e-04,2710820
6.390000e-02,6.159487e-04,2710680
6.400000e-02,6.178770e-04,2710540
6.410000e-02,6.198082e-04,2710400
6.420000e-02,6.217425e-04,2710260
6.430000e-02,6.236798e-04,2710120
6.440000e-02,6.256201e-04,2709980
6.450000e-02,6.275634e-04,2709840
6.460000e-02,6.295097e-04,2709700
6.470000e-02,6.314590e-04,2709560
6.480000e-02,6.334113e-04,2709420
6.490000e-02,6.353667e-04,2709280
6.500000e-02,6.373250e-04,2709140
6.510000e-02,6.392863e-04,2709000
6.520000e-02,6.412507e-04,2708860
6.530000e-02,6.432180e-04,2708720
6.540000e-02,6.451883e-04,2708580
6.550000e-02,6.471617e-04,2708440
6.560000e-02,6.491380e-04,2708300
6.570000e-02,6.511174e-04,2708160
6.580000e-02,6.530998e-04,2708020
6.590000e-02,6.550851e-04,2707880
6.600000e-02,6.570735e-04,2707740
6.610000e-02,6.590649e-04,2707600
6.620000e-02,6.610593e-04,2707460
6.630000e-02,6.630566e-04,2707320
6.640000e-02,6.650570e-04,2707180
6.650000e-02,6.670604e-04,2707040
6.660000e-02,6.690668e-04,2706900
6.670000e-02,6.710762e-04,2706760
6.680000e-02,6.730886e-04,2706620
6.690000e-02,6.751040e-04,2706480
6.700000e-02,6.771224e-04,2706340
6.710000e-02,6.791438e-04,2706200
6.720000e-02,6.811683e-04,2706060
6.730000e-02,6.831957e-04,2705920
6.740000e-02,6.852261e-04,2705780
6.750000e-02,6.872595e-04,2705640
6.760000e-02,6.892960e-04,2705500
6.770000e-02,6.913354e-04,2705360
6.780000e-02,6.933778e-04,2705220
6.790000e-02,6.954233e-04,2705080
6.800000e-02,6.974717e-04,2704940
6.810000e-02,6.995232e-04,2704800
6.820000e-02,7.015776e-04,2704660
6.830000e-02,7.036351e-04,2704520
6.840000e-02,7.056955e-04,2704380
6.850000e-02,7.077590e-04,2704240
6.860000e-02,7.098254e-04,2704100
6.870000e-02,7.118949e-04,2703960
6.880000e-02,7.139673e-04,2703820
6.890000e-02,7.160428e-04,2703680
6.900000e-02,7.181213e-04,2703540
6.910000e-02,7.202027e-04,2703400
6.920000e-02,7.222872e-04,2703260
6.930000e-02,7.243747e-04,2703120
6.940000e-02,7.264652e-04,2702980
6.950000e-02,7.285586e-04,2702840
6.960000e-02,7.306551e-04,2702700
6.970000e-02,7.327546e-04,2702560
6.980000e-02,7.348571e-04,2702420
6.990000e-02,7.369626e-04,2702280
7.000000e-02,7.390710e-04,2702140
7.010000e-02,7.411825e-04,2702000
7.020000e-02,7.432970e-04,2701860
7.030000e-02,7.454145e-04,2701720
7.040000e-02,7.475350e-04,2701580
7.050000e-02,7.496585e-04,2701440
7.060000e-02,7.517850e-04,2701300
7.070000e-02,7.539145e-04,2701160
7.080000e-02,7.560470e-04,2701020
7.090000e-02,7.581825e-04,2700880
7.100000e-02,7.603209e-04,2700740
7.110000e-02,7.624624e-04,2700600
7.120000e-02,7.646069e-04,2700460
7.130000e-02,7.667544e-04,2700320
7.140000e-02,7.689049e-04,2700180
7.150000e-02,7.710584e-04,2700040
7.160000e-02,7.732149e-04,2699900
7.170000e-02,7.753744e-04,2699760
7.180000e-02,7.775369e-04,2699620
7.190000e-02,7.797024e-04,2699480
7.200000e-02,7.818709e-04,2699340
7.210000e-02,7.840424e-04,2699200
7.220000e-02,7.862169e-04,2699060
7.230000e-02,7.883944e-04,2698920
7.240000e-02,7.905749e-04,2698780
7.250000e-02,7.927584e-04,2698640
7.260000e-02,7.949449e-04,2698500
7.270000e-02,7.971344e-04,2698360
7.280000e-02,7.993269e-04,2698220
7.290000e-02,8.015224e-04,2698080
7.300000e-02,8.037209e-04,2697940
7.310000e-02,8.059224e-04,2697800
7.320000e-02,8.081269e-04,2697660
7.330000e-02,8.103343e-04,2697520
7.340000e-02,8.125448e-04,2697380
7.350000e-02,8.147583e-04,2697240
7.360000e-02,8.169748e-04,2697100
7.370000e-02,8.191943e-04,2696960
